ZYMC,SZD,SFSYL,SF985,SF211,JHRS_3,JHRS_2,JHRS_1,SJRS_3,SJRS_2,SJRS_1,XX_Med_3,XX_Med_2,XX_Med_1,ZY_Max_3,ZY_Max_2,ZY_Max_1,ZY_Min_3,ZY_Min_2,ZY_Min_1,CS,NX,YJ
统计学,黑龙江,1,1,1,2,6,2,1,7,4,1061,1513,1583.5,1390,1942,937,1390,2044,1774,1,0.619047619047619,0.666666666666667
中药制药,黑龙江,0,0,0,4,4,4,4,4,4,26519,22007,24263,31926,11693,21809.5,35359,39478,37418.5,0.375,0.125,0.625
药物分析,黑龙江,0,0,0,4,4,4,4,4,4,26519,22007,24263,28911,28863,28887,37753,39478,38615.5,0.625,0.125,0.875
统计学,黑龙江,0,0,0,4,4,4,4,4,4,34877,32131.5,31744,34462,27067,23874,35851,35057,33479,0.5,0.333333333333333,0.916666666666667
食品科学与工程,黑龙江,0,0,0,3,4,2,3,4,2,34877,32131.5,31744,24638,30698,12242,40584,39478,33046,0.555555555555556,0.194444444444444,0.666666666666667
会计学,黑龙江,0,0,0,2,2,2,2,2,2,34877,32131.5,33504.25,24638,25708,25173,24999,25708,25353.5,0.25,0,1
财务管理,上海,1,0,1,2,2,2,2,2,2,936.5,741.75,547,1221,816,411,1322,887.5,453,1,0.5,0.75
金融学,上海,1,0,1,2,2,2,2,2,2,936.5,741.75,547,413,338.5,264,445,367,289,1,0.25,0.75
投资学,上海,1,0,1,3,2.5,2,3,2.5,2,936.5,741.75,547,745,599,453,1221,907.5,594,1,0.166666666666666,1
工商管理类,上海,1,0,1,3,3,3,3,3,3,936.5,741.75,547,956,751.5,547,1322,1036.5,751,1,0,1
机械类,吉林,1,1,1,4,4,4,4,4,4,4490,4763.5,5037,4116,3760,3404,5116,4395.5,3675,0.75,1,0.875
工业设计,吉林,1,1,1,2,3,4,2,3,4,4490,4763.5,5037,5690,3657.5,1625,6156,4780,3404,1,0.875,1
材料物理,吉林,1,1,1,3,8,5.5,3,8,5.5,4490,4874,4682,4357,4960,4658.5,4984,5509,5246.5,0.770833333333333,0.666666666666667,0.9375
电子信息类,吉林,1,1,1,10,4,7,10,4,7,4490,4874,4682,3521,5700,4610.5,4738,7359,6048.5,0.55,0.725,1
数学与应用数学,黑龙江,1,0,1,2,4,6,2,4,6,9480,9961,10442,9480,7698,5916,9887,10164.5,10442,0.5,1,0.916666666666667
航空航天类,黑龙江,1,0,1,11,12,3,10,12,3,9480,10312,10442,9263,8013,11206,10313,10573,11490,0.7,0.938888888888889,0.944444444444444
海洋工程类,黑龙江,1,0,1,10,4,4,10,4,4,9480,10312,10442,8480,9530,1625,10081,10573,9441,0.766666666666667,0.933333333333333,0.883333333333333
能源动力类,黑龙江,1,0,1,6,4,5,2,4,6,9480,10312,10442,10081,6499,9207,10081,8771,10442,0.888888888888889,0.944444444444444,0.944444444444444
机械电子工程,黑龙江,0,0,0,1,1,10,1,1,10,26132,25285,25727,23849,23187,16332,23849,23187,24947,0.2,0.9,0.966666666666667
能源与动力工程,黑龙江,0,0,0,3,3,3,3,3,3,26132,25285,25727,24999,25708,24243,26519,27501,26499,0.555555555555556,0.888888888888889,1
工业设计,黑龙江,0,0,0,2,2,2,2,2,2,26132,25285,25727,26132,24020,26499,28494,24455,26903,0.666666666666667,0.666666666666667,1
车辆工程,黑龙江,0,0,0,2,2,2,2,2,2,26132,25285,25727,27327,27067,27656,28110,27501,28030,0.166666666666667,0.833333333333333,0.5
金属材料工程,黑龙江,0,0,0,2,2,2,2,2,2,26132,25285,25708.5,27727,26607,27167,28911,27945,28428,1,1,0.75
